Date,7/16/2018
Spectrometer,FLMS02587
Lamp SN,F1401
Int. Time(usec),350000
Average,0
Boxcar,0
Fiber (micron),7140
,
[uJoule/count],
591.8273,1.12E-05
592.1786,1.12E-05
592.5299,1.12E-05
592.8812,1.13E-05
593.2324,1.13E-05
593.5835,1.13E-05
593.9346,1.13E-05
594.2857,1.14E-05
594.6367,1.14E-05
594.9877,1.14E-05
595.3386,1.14E-05
595.6895,1.15E-05
596.0403,1.15E-05
596.3911,1.15E-05
596.7418,1.15E-05
597.0925,1.15E-05
597.4431,1.15E-05
597.7937,1.16E-05
598.1443,1.16E-05
598.4948,1.16E-05
598.8452,1.16E-05
599.1956,1.16E-05
599.546,1.16E-05
599.8963,1.17E-05
600.2465,1.17E-05
600.5968,1.17E-05
600.9469,1.17E-05
601.297,1.17E-05
601.6471,1.17E-05
601.9971,1.17E-05
602.3471,1.17E-05
602.6971,1.18E-05
603.0469,1.18E-05
603.3968,1.18E-05
603.7466,1.18E-05
604.0963,1.18E-05
604.446,1.18E-05
604.7957,1.18E-05
605.1453,1.18E-05
605.4948,1.18E-05
605.8443,1.18E-05
606.1938,1.18E-05
606.5432,1.18E-05
606.8926,1.18E-05
607.2419,1.18E-05
607.5912,1.19E-05
607.9404,1.18E-05
608.2896,1.19E-05
608.6387,1.19E-05
608.9878,1.19E-05
609.3368,1.19E-05
609.6858,1.19E-05
610.0348,1.19E-05
610.3837,1.19E-05
610.7325,1.19E-05
611.0813,1.19E-05
611.4301,1.19E-05
611.7788,1.19E-05
612.1274,1.19E-05
612.4761,1.19E-05
612.8246,1.19E-05
613.1731,1.19E-05
613.5216,1.19E-05
613.87,1.19E-05
614.2184,1.19E-05
614.5667,1.19E-05
614.915,1.19E-05
615.2632,1.19E-05
615.6114,1.20E-05
615.9596,1.20E-05
616.3077,1.20E-05
616.6557,1.20E-05
617.0037,1.20E-05
617.3516,1.20E-05
617.6995,1.20E-05
618.0474,1.20E-05
618.3952,1.20E-05
618.743,1.20E-05
619.0907,1.21E-05
619.4383,1.21E-05
619.786,1.21E-05
620.1335,1.21E-05
620.481,1.21E-05
620.8285,1.21E-05
621.1759,1.21E-05
621.5233,1.21E-05
621.8706,1.21E-05
622.2179,1.22E-05
622.5652,1.22E-05
622.9124,1.22E-05
623.2595,1.22E-05
623.6066,1.22E-05
623.9536,1.22E-05
624.3006,1.22E-05
624.6476,1.22E-05
624.9945,1.23E-05
625.3413,1.23E-05
625.6881,1.23E-05
626.0349,1.23E-05
626.3816,1.23E-05
626.7283,1.24E-05
627.0749,1.24E-05
627.4214,1.24E-05
627.768,1.24E-05
628.1144,1.24E-05
628.4609,1.25E-05
628.8072,1.25E-05
629.1536,1.25E-05
629.4998,1.26E-05
629.8461,1.26E-05
630.1922,1.26E-05
630.5384,1.26E-05
630.8845,1.26E-05
631.2305,1.27E-05
631.5765,1.27E-05
631.9224,1.27E-05
632.2683,1.28E-05
632.6142,1.28E-05
632.96,1.28E-05
633.3057,1.28E-05
633.6514,1.29E-05
633.9971,1.29E-05
634.3427,1.29E-05
634.6883,1.30E-05
635.0338,1.30E-05
635.3792,1.30E-05
635.7247,1.30E-05
636.07,1.31E-05
636.4154,1.31E-05
636.7606,1.31E-05
637.1058,1.32E-05
637.451,1.32E-05
637.7962,1.33E-05
638.1412,1.33E-05
638.4863,1.33E-05
638.8312,1.34E-05
639.1762,1.34E-05
639.5211,1.34E-05
639.8659,1.35E-05
640.2107,1.35E-05
640.5554,1.35E-05
640.9001,1.36E-05
641.2448,1.36E-05
641.5894,1.36E-05
641.9339,1.37E-05
642.2784,1.37E-05
642.6229,1.37E-05
642.9673,1.38E-05
643.3116,1.38E-05
643.6559,1.38E-05
644.0002,1.39E-05
644.3444,1.39E-05
644.6886,1.40E-05
645.0327,1.40E-05
645.3768,1.40E-05
645.7208,1.41E-05
646.0647,1.41E-05
646.4087,1.41E-05
646.7525,1.42E-05
647.0964,1.42E-05
647.4401,1.42E-05
647.7839,1.43E-05
648.1275,1.43E-05
648.4712,1.43E-05
648.8148,1.44E-05
649.1583,1.44E-05
649.5018,1.44E-05
649.8452,1.45E-05
650.1886,1.45E-05
650.5319,1.45E-05
650.8752,1.46E-05
651.2185,1.46E-05
651.5617,1.46E-05
651.9048,1.47E-05
652.2479,1.47E-05
652.591,1.48E-05
652.934,1.48E-05
653.2769,1.48E-05
653.6198,1.49E-05
653.9627,1.49E-05
654.3055,1.49E-05
654.6482,1.50E-05
654.9909,1.50E-05
655.3336,1.50E-05
655.6762,1.51E-05
656.0188,1.51E-05
656.3613,1.51E-05
656.7037,1.52E-05
657.0461,1.52E-05
657.3885,1.52E-05
657.7308,1.53E-05
658.0731,1.53E-05
658.4153,1.53E-05
658.7575,1.53E-05
659.0996,1.54E-05
659.4417,1.54E-05
659.7837,1.54E-05
660.1257,1.54E-05
660.4676,1.55E-05
660.8095,1.55E-05
661.1513,1.55E-05
661.4931,1.56E-05
661.8348,1.56E-05
662.1765,1.56E-05
662.5182,1.57E-05
662.8597,1.57E-05
663.2013,1.57E-05
663.5428,1.57E-05
663.8842,1.58E-05
664.2256,1.58E-05
664.5669,1.58E-05
664.9082,1.58E-05
665.2495,1.59E-05
665.5907,1.59E-05
665.9318,1.59E-05
666.2729,1.60E-05
666.614,1.60E-05
666.955,1.60E-05
667.2959,1.60E-05
667.6368,1.61E-05
667.9777,1.61E-05
668.3185,1.61E-05
668.6592,1.62E-05
668.9999,1.62E-05
669.3406,1.62E-05
669.6812,1.62E-05
670.0217,1.63E-05
670.3622,1.63E-05
670.7027,1.63E-05
671.0431,1.64E-05
671.3835,1.64E-05
671.7238,1.64E-05
672.064,1.64E-05
672.4042,1.65E-05
672.7444,1.65E-05
673.0845,1.65E-05
673.4246,1.66E-05
673.7646,1.66E-05
674.1046,1.66E-05
674.4445,1.66E-05
674.7843,1.67E-05
675.1242,1.67E-05
675.4639,1.67E-05
675.8036,1.68E-05
676.1433,1.68E-05
676.4829,1.68E-05
676.8225,1.68E-05
677.162,1.69E-05
677.5015,1.69E-05
677.8409,1.69E-05
678.1803,1.69E-05
678.5196,1.70E-05
678.8589,1.70E-05
679.1981,1.70E-05
679.5373,1.71E-05
679.8764,1.71E-05
680.2155,1.71E-05
680.5545,1.72E-05
680.8935,1.72E-05
681.2324,1.72E-05
681.5713,1.73E-05
681.9101,1.73E-05
682.2489,1.74E-05
682.5876,1.74E-05
682.9263,1.75E-05
683.265,1.75E-05
683.6035,1.76E-05
683.9421,1.76E-05
684.2806,1.76E-05
684.619,1.77E-05
684.9574,1.77E-05
685.2957,1.78E-05
685.634,1.78E-05
685.9722,1.79E-05
686.3104,1.79E-05
686.6485,1.79E-05
686.9866,1.80E-05
687.3247,1.80E-05
687.6626,1.80E-05
688.0006,1.81E-05
688.3385,1.81E-05
688.6763,1.82E-05
689.0141,1.82E-05
689.3518,1.83E-05
689.6895,1.83E-05
690.0272,1.84E-05
690.3647,1.84E-05
690.7023,1.85E-05
691.0398,1.85E-05
691.3772,1.86E-05
691.7146,1.87E-05
692.0519,1.87E-05
692.3892,1.88E-05
692.7265,1.88E-05
693.0637,1.89E-05
693.4008,1.89E-05
693.7379,1.90E-05
694.0749,1.90E-05
694.4119,1.91E-05
694.7489,1.91E-05
695.0857,1.92E-05
695.4226,1.93E-05
695.7594,1.93E-05
696.0961,1.94E-05
696.4328,1.94E-05
696.7694,1.95E-05
697.106,1.96E-05
697.4426,1.96E-05
697.7791,1.97E-05
698.1155,1.98E-05
698.4519,1.99E-05
698.7882,1.99E-05
699.1245,2.00E-05
699.4608,2.01E-05
699.797,2.01E-05
700.1331,2.02E-05
700.4692,2.03E-05
700.8052,2.03E-05
701.1412,2.04E-05
701.4772,2.04E-05
701.813,2.05E-05
702.1489,2.06E-05
