Wavelength (nm),Counts
779.657,8512.53
779.98,8227.09
780.304,8127.81
780.627,7978.88
780.951,7542.03
781.274,7546.99
781.598,7340.98
781.921,7177.16
782.245,7142.41
782.568,6978.59
782.891,6852
783.214,6871.86
783.537,6591.38
783.861,6261.26
784.184,6328.28
784.506,6360.55
784.829,5978.3
785.152,5980.79
785.475,5931.14
785.798,5859.16
786.12,5692.86
786.443,5645.7
786.766,5735.06
787.088,5610.95
787.411,5601.02
787.733,5531.52
788.056,5489.33
788.378,5385.08
788.7,5342.88
789.022,5268.42
789.345,5119.5
789.667,5216.3
789.989,5193.96
790.311,5248.56
790.633,5251.05
790.955,5256.01
791.276,5337.92
791.598,5159.21
791.92,5126.94
792.242,5151.76
792.563,5054.96
792.885,5062.41
793.206,5270.9
793.528,5184.03
793.849,5375.15
794.171,5248.56
794.492,5166.66
794.813,5424.79
795.134,5293.24
795.456,5337.92
795.777,5479.4
796.098,5407.42
796.419,5422.31
796.74,5665.56
797.061,5633.29
797.381,5519.11
797.702,5603.51
798.023,5754.91
798.344,5826.89
798.664,5725.13
798.985,5618.4
799.305,5883.98
799.626,5881.5
799.946,6109.85
800.267,5985.75
800.587,5985.75
800.907,6050.28
801.227,6191.76
801.548,6102.41
801.868,6392.81
802.188,6229
802.508,6216.59
802.828,6238.92
803.147,6467.28
803.467,6586.42
803.787,6708.04
804.107,6623.65
804.426,6613.72
804.746,6524.37
805.066,6683.22
805.385,6700.6
805.705,6812.29
806.024,6837.11
806.343,6976.11
806.663,6782.51
806.982,6993.48
807.301,6886.75
807.62,7013.34
807.939,7067.95
808.258,6995.97
808.577,7065.47
808.896,7043.13
809.215,7010.86
809.534,6933.91
809.852,6923.99
810.171,7018.31
810.49,6956.25
810.808,6852
811.127,7065.47
811.445,7174.68
811.764,6824.7
812.082,6700.6
812.401,6832.15
812.719,6879.31
813.037,6745.27
813.355,6827.18
813.673,6819.74
813.991,6544.22
814.309,6680.74
814.627,6866.9
814.945,6775.06
815.263,6482.17
815.581,6524.37
815.899,6645.99
816.216,6526.85
816.534,6425.08
816.851,6472.24
817.169,6534.29
817.486,6365.51
817.804,6310.91
818.121,6241.41
818.438,6283.6
818.756,6201.69
819.073,6271.19
819.39,6149.57
819.707,6040.36
820.024,6159.5
820.341,5931.14
820.658,6035.39
820.975,5913.77
821.292,6142.12
821.608,6082.55
821.925,5983.27
822.242,6045.32
822.558,5861.64
822.875,6015.53
823.191,5980.79
823.508,5876.54
823.824,6000.64
824.141,5933.63
824.457,6045.32
824.773,5943.55
825.089,5812
825.405,5740.02
825.721,5985.75
826.037,5886.47
826.353,6119.78
826.669,5988.23
826.985,5859.16
827.301,5906.32
827.617,5970.86
827.932,5988.23
828.248,6166.94
828.563,5923.7
828.879,5965.89
829.194,5973.34
829.51,5988.23
829.825,6221.55
830.14,6040.36
830.456,5941.07
830.771,6209.14
831.086,6087.52
831.401,6224.03
831.716,6216.59
832.031,6345.65
832.346,6127.23
832.661,6171.91
832.976,6209.14
833.29,6439.97
833.605,6375.44
833.92,6375.44
834.234,6397.78
834.549,6380.4
834.863,6621.17
835.178,6544.22
835.492,6574.01
835.806,6564.08
836.121,6775.06
836.435,6546.71
836.749,6638.54
837.063,6812.29
837.377,6717.97
837.691,6802.36
838.005,6847.04
838.319,6933.91
838.633,7055.54
838.946,7137.45
839.26,7169.71
839.574,7390.62
839.887,7303.75
840.201,7231.77
840.514,7360.84
840.828,7492.39
841.141,7656.21
841.455,7668.62
841.768,7775.35
842.081,7780.31
842.394,7837.4
842.707,7646.28
843.02,7889.52
843.333,8127.81
843.646,8135.25
843.959,8296.59
844.272,8291.62
844.585,8492.68
844.898,8482.75
845.21,8529.91
845.523,8721.03
845.835,8703.65
846.148,8663.94
846.46,8807.9
846.773,8872.44
847.085,8991.58
847.397,8904.7
847.71,8994.06
848.022,9130.58
848.334,8855.06
848.646,9098.31
848.958,9128.09
849.27,9053.63
849.582,8944.42
849.894,9152.91
850.205,8966.76
850.517,8882.37
850.829,8954.35
851.141,8740.89
851.452,8616.78
851.764,8698.69
852.075,8626.71
852.386,8497.64
852.698,8281.7
853.009,8254.39
853.32,8088.09
853.632,8011.15
853.943,7852.29
854.254,7556.92
854.565,7631.38
854.876,7385.66
855.187,7137.45
855.497,7221.84
855.808,6852
856.119,6631.1
856.43,6556.63
856.74,6288.57
857.051,5958.45
857.361,5893.91
857.672,5787.18
857.982,5715.2
858.293,5298.21
858.603,5283.31
858.913,5057.44
859.223,4973.05
859.533,4764.55
859.844,4729.8
860.154,4464.22
860.464,4181.26
860.773,4144.03
861.083,3995.1
861.393,3799.02
861.703,3692.29
862.013,3615.34
862.322,3476.34
862.632,3456.49
862.941,3235.58
863.251,3126.37
863.56,3034.53
863.869,3099.06
864.179,2682.07
864.488,2624.98
864.797,2605.12
865.106,2490.95
865.415,2423.93
865.724,2443.79
866.033,2091.33
866.342,2185.65
866.651,2252.66
866.96,2140.97
